Producto;Tiendas;Categoría;Precio;Envío;Año;Fecha;Vendedor;Lugar de Compra;Calificación;Método de pago;Cantidad de cuotas;lat;lon
Juego de mesa;1;Juguetes;1308000;52000;2021;02-10-2021;Camila Rivera;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Iphone 15;1;Electrónicos;13965000;748000;2020;23-04-2020;Blanca Ramirez;Medellín;5;Tarjeta de crédito;9;625184;-7556359
Balón de baloncesto;1;Deportes y diversión;421000;69000;2022;27-10-2022;Lucas Olivera;Cartagena;5;Tarjeta de crédito;2;1039972;-7551444
Muñeca bebé;1;Juguetes;448000;26000;2020;20-12-2020;Maria Alfonso;Pasto;5;Tarjeta de crédito;10;121361;-7728111
Set de vasos;1;Artículos para el hogar;353000;23000;2020;23-07-2020;Ángel Rodriguez;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Silla de oficina;1;Muebles;4448000;241000;2022;05-05-2022;Santiago Silva;Medellín;5;Nequi;1;625184;-7556359
Silla de oficina;1;Muebles;4125000;202000;2021;29-07-2021;Felipe Santos;Bogotá;1;Tarjeta de crédito;7;460971;-7408175
Vaso térmico;1;Deportes y diversión;598000;42000;2020;30-12-2020;Juliana Costa;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Muñeca bebé;1;Juguetes;420000;0;2021;22-01-2021;Izabela de León;Cali;2;Tarjeta de crédito;7;343722;-765225
Impresora;1;Electrónicos;2883000;135000;2020;16-05-2020;Rafael Acosta;Bogotá;5;Nequi;1;460971;-7408175
Guitarra acústica;1;Instrumentos musicales;4346000;235000;2020;28-06-2020;Rafael Acosta;Bogotá;5;Tarjeta de crédito;5;460971;-7408175
Kit de bancas;1;Muebles;2456000;113000;2021;24-09-2021;Lucas Olivera;Valledupar;3;Tarjeta de crédito;5;1046314;-7325322
Modelado predictivo;1;Libros;538000;11000;2023;20-03-2023;Santiago Silva;Medellín;1;Tarjeta de crédito;10;625184;-7556359
Microondas;1;Electrodomésticos;7226000;367000;2021;30-09-2021;Ángel Rodriguez;Cúcuta;5;Nequi;1;789391;-7250782
Olla de presión;1;Artículos para el hogar;783000;46000;2022;27-09-2022;Mariana Herrera;Cali;5;Tarjeta de crédito;10;343722;-765225
Mesa de comedor;1;Muebles;2793000;153000;2022;03-05-2022;Santiago Silva;Bogotá;2;Tarjeta de crédito;6;460971;-7408175
Bicicleta;1;Deportes y diversión;4751000;235000;2020;13-12-2020;Juan Fernandez;Medellín;5;Tarjeta de crédito;4;625184;-7556359
Olla de presión;1;Artículos para el hogar;726000;21000;2022;10-02-2022;Camila Rivera;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Iniciando en programación;1;Libros;494000;33000;2020;01-04-2020;Rafael Acosta;Bogotá;5;Tarjeta de crédito;4;460971;-7408175
Cuerda para saltar;1;Deportes y diversión;228000;73000;2020;20-10-2020;Mariana Herrera;Medellín;5;Tarjeta de débito;1;625184;-7556359
Muñeca bebé;1;Juguetes;546000;11000;2022;27-01-2022;Pedro Gomez;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Dashboards con Power BI;1;Libros;335000;0;2021;29-07-2021;Maria Alfonso;Bogotá;5;Cupón;1;460971;-7408175
Celular ABXY;1;Electrónicos;7019000;356000;2020;11-01-2020;Juan Fernandez;Bogotá;5;Nequi;1;460971;-7408175
Secadora de ropa;1;Electrodomésticos;14389000;773000;2020;06-02-2020;Lucas Olivera;Medellín;1;Tarjeta de crédito;1;625184;-7556359
Auriculares con micrófono;1;Electrónicos;553000;40000;2021;04-07-2021;Maria Alfonso;Bogotá;1;Tarjeta de crédito;4;460971;-7408175
Muñeca bebé;1;Juguetes;532000;31000;2020;28-12-2020;Juliana Costa;Riohacha;5;Tarjeta de crédito;8;1154444;-7290722
Sillón;1;Muebles;2225000;124000;2020;14-02-2020;Beatriz Morales;Bogotá;3;Nequi;1;460971;-7408175
Bicicleta;1;Deportes y diversión;5359000;292000;2021;11-10-2021;Lucas Olivera;Bogotá;3;Tarjeta de crédito;1;460971;-7408175
Smartwatch;1;Electrónicos;1723000;94000;2022;11-02-2022;Santiago Silva;Bogotá;5;Tarjeta de crédito;8;460971;-7408175
Ciencia de datos con Python;1;Libros;397000;23000;2022;18-05-2022;Maria Alfonso;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Vaso térmico;1;Deportes y diversión;669000;59000;2022;06-07-2022;Maria Alfonso;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
TV LED UHD 4K;1;Electrónicos;27615000;1473000;2020;15-12-2020;Rafael Acosta;Bogotá;5;Nequi;1;460971;-7408175
Microondas;1;Electrodomésticos;5558000;298000;2021;04-12-2021;Maria Alfonso;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Refrigerador;1;Electrodomésticos;21851000;1145000;2020;09-02-2020;Maria Alfonso;Bogotá;1;Cupón;1;460971;-7408175
Dashboards con Power BI;1;Libros;444000;0;2020;15-04-2020;Ángel Rodriguez;Cartagena;1;Tarjeta de crédito;4;1039972;-7551444
Bloques de construcción;1;Juguetes;309000;0;2020;05-03-2020;Juan Fernandez;Villavicencio;2;Nequi;1;4142;-7362664
TV LED UHD 4K;1;Electrónicos;28246000;1506000;2021;07-09-2021;Mariana Herrera;Pasto;5;Tarjeta de crédito;1;121361;-7728111
Lavavajillas;1;Electrodomésticos;15279000;820000;2020;04-08-2020;Felipe Santos;Bogotá;2;Tarjeta de crédito;2;460971;-7408175
Mesa de centro;1;Muebles;1828000;101000;2022;25-11-2022;Mariana Herrera;Cali;5;Nequi;1;343722;-765225
Microondas;1;Electrodomésticos;7142000;384000;2020;27-07-2020;Pedro Gomez;Bogotá;5;Tarjeta de crédito;5;460971;-7408175
Olla de presión;1;Artículos para el hogar;833000;26000;2020;17-01-2020;Beatriz Morales;Medellín;1;Tarjeta de crédito;10;625184;-7556359
Vaso térmico;1;Deportes y diversión;350000;26000;2020;12-09-2020;Pedro Gomez;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Cama king;1;Muebles;6951000;372000;2022;23-01-2022;Izabela de León;Bogotá;4;Tarjeta de crédito;5;460971;-7408175
Modelado predictivo;1;Libros;697000;105000;2022;15-04-2022;Beatriz Morales;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Lavadora de ropa;1;Electrodomésticos;13569000;746000;2020;02-01-2020;Mariana Herrera;Pasto;3;Tarjeta de crédito;2;121361;-7728111
Iphone 15;1;Electrónicos;23514000;1299000;2020;17-02-2020;Camila Rivera;Bucaramanga;1;Tarjeta de crédito;1;712539;-731198
Guitarra acústica;1;Instrumentos musicales;2046000;91000;2020;28-05-2020;Izabela de León;Cali;5;Tarjeta de crédito;5;343722;-765225
TV LED UHD 4K;1;Electrónicos;29100000;1531000;2021;02-07-2021;Juliana Costa;Medellín;5;Nequi;1;625184;-7556359
Olla de presión;1;Artículos para el hogar;624000;15000;2020;01-04-2020;Maria Alfonso;Medellín;1;Tarjeta de crédito;2;625184;-7556359
Secadora de ropa;1;Electrodomésticos;10908000;563000;2022;01-09-2022;Ángel Rodriguez;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Sillón;1;Muebles;2625000;144000;2022;06-09-2022;Lucas Olivera;Medellín;5;Nequi;1;625184;-7556359
Modelado predictivo;1;Libros;556000;40000;2020;26-12-2020;Maria Alfonso;Cartagena;5;Tarjeta de crédito;1;1039972;-7551444
TV LED UHD 4K;1;Electrónicos;19274000;1085000;2022;17-11-2022;Camila Rivera;Bogotá;5;Tarjeta de crédito;4;460971;-7408175
Dashboards con Power BI;1;Libros;305000;0;2020;06-04-2020;Maria Alfonso;Bucaramanga;5;Tarjeta de crédito;8;712539;-731198
Armario;1;Muebles;5081000;252000;2023;03-02-2023;Camila Rivera;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Silla de oficina;1;Muebles;5037000;270000;2020;30-01-2020;Maria Alfonso;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Auriculares con micrófono;1;Electrónicos;1616000;90000;2022;21-10-2022;Felipe Santos;Bogotá;1;Tarjeta de crédito;1;460971;-7408175
TV LED UHD 4K;1;Electrónicos;28728000;1512000;2020;05-02-2020;Lucas Olivera;Bogotá;5;Nequi;1;460971;-7408175
Set de vasos;1;Artículos para el hogar;340000;20000;2021;26-10-2021;Juliana Costa;Pereira;1;Tarjeta de crédito;2;481333;-7569611
Batería;1;Instrumentos musicales;6776000;343000;2022;24-07-2022;Maria Alfonso;Bogotá;5;Tarjeta de crédito;6;460971;-7408175
Juego de mesa;1;Juguetes;1508000;82000;2022;24-02-2022;Izabela de León;Cali;5;Tarjeta de crédito;2;343722;-765225
Cuerda para saltar;1;Deportes y diversión;226000;0;2021;09-09-2021;Ángel Rodriguez;Pereira;5;Nequi;1;481333;-7569611
Auriculares con micrófono;1;Electrónicos;1513000;87000;2021;14-06-2021;Pedro Gomez;Medellín;5;Tarjeta de crédito;5;625184;-7556359
Tablet ABXY;1;Electrónicos;9037000;463000;2021;30-10-2021;Camila Rivera;Cali;4;Nequi;1;343722;-765225
Ajedrez de madera;1;Juguetes;303000;0;2021;13-04-2021;Rafael Acosta;Bucaramanga;5;Tarjeta de crédito;6;712539;-731198
Armario;1;Muebles;4520000;243000;2020;12-02-2020;Rafael Acosta;Pereira;4;Tarjeta de crédito;4;481333;-7569611
Cubo mágico 8x8;1;Juguetes;186000;12000;2021;12-05-2021;Beatriz Morales;Armenia;5;Nequi;1;453389;-7568111
Dinosaurio Rex;1;Juguetes;136000;14000;2022;11-01-2022;Camila Rivera;Medellín;5;Nequi;1;625184;-7556359
Set de vasos;1;Artículos para el hogar;357000;0;2022;08-07-2022;Pedro Gomez;Pereira;5;Nequi;1;481333;-7569611
Armario;1;Muebles;4515000;222000;2020;30-05-2020;Maria Alfonso;Bogotá;3;Tarjeta de crédito;3;460971;-7408175
Set de vasos;1;Artículos para el hogar;281000;0;2022;04-10-2022;Juliana Costa;Cali;1;Tarjeta de crédito;10;343722;-765225
Batería;1;Instrumentos musicales;5466000;315000;2021;15-12-2021;Felipe Santos;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Carrito de control remoto;1;Juguetes;571000;12000;2023;13-02-2023;Juan Fernandez;Cali;3;Tarjeta de crédito;2;343722;-765225
Muñeca bebé;1;Juguetes;429000;0;2021;03-02-2021;Blanca Ramirez;Cali;5;Nequi;1;343722;-765225
Sofá reclinable;1;Muebles;7129000;361000;2022;10-11-2022;Camila Rivera;Cali;1;Tarjeta de crédito;5;343722;-765225
Bloques de construcción;1;Juguetes;270000;18000;2023;21-01-2023;Izabela de León;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Mesa de noche;1;Muebles;3210000;153000;2021;24-10-2021;Lucas Olivera;Bogotá;2;Tarjeta de crédito;10;460971;-7408175
Cama king;1;Muebles;6582000;398000;2022;22-03-2022;Juliana Costa;Barranquilla;1;Tarjeta de crédito;2;1096854;-7478132
Refrigerador;1;Electrodomésticos;24615000;1357000;2022;29-09-2022;Juliana Costa;Medellín;5;Tarjeta de crédito;6;625184;-7556359
Vaso térmico;1;Deportes y diversión;295000;74000;2020;18-12-2020;Pedro Gomez;Bogotá;5;Tarjeta de crédito;5;460971;-7408175
Cubertería;1;Artículos para el hogar;531000;10000;2022;26-03-2022;Juan Fernandez;Bogotá;2;Tarjeta de crédito;5;460971;-7408175
Cuerda para saltar;1;Deportes y diversión;86000;9000;2022;17-08-2022;Beatriz Morales;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Cama box;1;Muebles;5902000;296000;2022;18-01-2022;Maria Alfonso;Bogotá;5;Nequi;1;460971;-7408175
Silla de oficina;1;Muebles;5146000;298000;2021;15-09-2021;Rafael Acosta;Cartagena;5;Tarjeta de crédito;10;1039972;-7551444
Mesa de centro;1;Muebles;2082000;113000;2022;01-05-2022;Lucas Olivera;Pereira;5;Tarjeta de crédito;1;481333;-7569611
Cuerda para saltar;1;Deportes y diversión;100000;9000;2020;06-11-2020;Mariana Herrera;Medellín;1;Tarjeta de crédito;1;625184;-7556359
Set de ollas;1;Artículos para el hogar;1081000;62000;2021;08-02-2021;Izabela de León;Medellín;1;Tarjeta de crédito;3;625184;-7556359
Modelado predictivo;1;Libros;641000;36000;2020;22-06-2020;Blanca Ramirez;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Vaso térmico;1;Deportes y diversión;650000;37000;2021;09-03-2021;Mariana Herrera;Bogotá;1;Cupón;1;460971;-7408175
Mesa de centro;1;Muebles;1577000;86000;2021;06-07-2021;Felipe Santos;Santa Marta;5;Tarjeta de crédito;12;1124079;-7419904
Mesa de noche;1;Muebles;2719000;149000;2022;24-11-2022;Mariana Herrera;Bogotá;3;Nequi;1;460971;-7408175
Smart TV;1;Electrónicos;17960000;967000;2020;18-03-2020;Pedro Gomez;Cali;4;Tarjeta de crédito;4;343722;-765225
Olla de presión;1;Artículos para el hogar;709000;20000;2021;01-04-2021;Juliana Costa;Cartagena;5;Tarjeta de crédito;10;1039972;-7551444
Armario;1;Muebles;4507000;247000;2021;29-08-2021;Blanca Ramirez;Medellín;1;Tarjeta de crédito;2;625184;-7556359
Bloques de construcción;1;Juguetes;323000;0;2020;28-03-2020;Lucas Olivera;Bogotá;5;Nequi;1;460971;-7408175
Balón de baloncesto;1;Deportes y diversión;596000;14000;2022;12-11-2022;Lucas Olivera;Bogotá;4;Tarjeta de débito;1;460971;-7408175
Set de vasos;1;Artículos para el hogar;408000;26000;2022;06-02-2022;Juliana Costa;Pereira;5;Nequi;1;481333;-7569611
Cubertería;1;Artículos para el hogar;546000;40000;2020;26-02-2020;Mariana Herrera;Bogotá;5;Tarjeta de débito;1;460971;-7408175
Lavadora de ropa;1;Electrodomésticos;15709000;818000;2022;16-06-2022;Pedro Gomez;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Iphone 15;1;Electrónicos;18819000;1004000;2021;22-04-2021;Pedro Gomez;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Lavadora de ropa;1;Electrodomésticos;13070000;698000;2021;04-12-2021;Juliana Costa;Medellín;5;Tarjeta de crédito;6;625184;-7556359
Juego de mesa;1;Juguetes;1634000;69000;2022;06-06-2022;Maria Alfonso;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Muñeca bebé;1;Juguetes;467000;29000;2020;05-11-2020;Felipe Santos;Leticia;5;Tarjeta de crédito;1;-421528;-6994056
Kit de bancas;1;Muebles;2720000;127000;2023;14-02-2023;Camila Rivera;Pereira;4;Tarjeta de crédito;10;481333;-7569611
Mesa de comedor;1;Muebles;2170000;97000;2021;14-09-2021;Pedro Gomez;Pereira;1;Cupón;1;481333;-7569611
Balón de voleibol;1;Deportes y diversión;488000;8000;2022;03-03-2022;Maria Alfonso;Bogotá;5;Nequi;1;460971;-7408175
Cubertería;1;Artículos para el hogar;346000;42000;2020;26-10-2020;Ángel Rodriguez;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Dashboards con Power BI;1;Libros;440000;27000;2021;08-04-2021;Maria Alfonso;Cúcuta;3;Tarjeta de crédito;1;789391;-7250782
Set de vasos;1;Artículos para el hogar;398000;25000;2022;21-04-2022;Camila Rivera;Bogotá;1;Tarjeta de crédito;1;460971;-7408175
Sofá reclinable;1;Muebles;6469000;348000;2020;27-07-2020;Mariana Herrera;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Mochila;1;Deportes y diversión;1070000;81000;2022;26-04-2022;Izabela de León;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Mesa de noche;1;Muebles;2696000;200000;2021;08-01-2021;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Juego de mesa;1;Juguetes;1934000;85000;2022;01-11-2022;Juan Fernandez;Cali;5;Nequi;1;343722;-765225
Mesa de noche;1;Muebles;2887000;156000;2021;27-07-2021;Santiago Silva;Bogotá;4;Tarjeta de crédito;6;460971;-7408175
Bloques de construcción;1;Juguetes;402000;0;2023;02-01-2023;Rafael Acosta;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Sillón;1;Muebles;2022000;110000;2020;02-06-2020;Juan Fernandez;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Impresora;1;Electrónicos;3621000;195000;2020;26-05-2020;Juan Fernandez;Medellín;1;Tarjeta de crédito;1;625184;-7556359
